Year,Country,1990M,1990F,1995M,1995F,2000M,2000F,2005M,2005F,2010M,2010F,2015M,2015F,2019M,2019F
1990,Micronesia (Fed. States of),2099,1586,2119,1223,1721,1395,1565,1340,1503,1303,1473,1283,1508,1311
1990,Nauru,1506,1309,1395,1210,1283,1111,1208,1045,653,530,1071,819,1206,908
1990,Northern Mariana Islands,14261,12332,15847,16529,17387,22735,15977,21565,10223,13945,9100,12548,9171,12644
1990,Palau,1800,1001,2808,1941,3905,2405,3620,2423,3211,2279,2996,1941,2875,2191
1990,American Samoa,11175,10108,12037,11061,12898,12014,12498,11735,12098,11457,11998,11515,12012,11527
1990,Cook Islands,1443,1144,1497,1189,1552,1233,1724,1553,1895,1874,1741,1736,1748,1743
1990,French Polynesia,15444,10386,16689,11671,17604,12725,18405,13881,18037,13603,17136,12922,17791,13414
1990,Niue,245,216,257,223,268,230,282,240,319,270,319,269,319,269
1990,Samoa,1771,1586,2451,2243,3101,2897,2940,2806,2594,2528,2148,2104,2038,1997
1990,Tokelau,150,120,147,119,144,118,133,125,206,223,233,254,242,262
1990,Tonga,1488,1423,1718,1556,1981,1703,2324,1977,2500,2104,2158,1796,2048,1704
1990,Tuvalu,180,138,148,115,121,97,115,94,121,99,126,104,131,107
1990,Wallis and Futuna Islands,726,676,872,832,1018,997,1107,1084,820,804,531,521,516,506
1990,Belarus,572021,676956,543307,642975,514593,608993,506988,599994,499384,590994,495961,586944,489770,579625
1990,Bulgaria,9047,12463,13642,18793,18238,25122,26594,34480,33841,42446,60058,63745,82718,85798
1990,Czechia,57405,52989,88316,77276,119227,101562,181719,140821,236160,162333,239228,177226,293245,219460
1990,Hungary,156185,191325,147202,175032,138219,158738,174216,192571,210212,226404,235719,239789,253884,258159
1990,Poland,482176,645595,404049,560676,338323,486928,297039,425470,262263,380154,259789,359614,289754,366231
1990,Republic of Moldova,238053,306109,155297,211934,101097,146731,67924,103198,52198,77290,43467,62907,42839,61874
1990,Romania,57601,78224,60443,74594,63121,71133,70153,75009,87667,89544,146758,134290,248851,213701
1990,Russian Federation,5655422,5869526,5925452,6003475,5982851,5917446,5806597,5860991,5514401,5680309,5715211,5928065,5713879,5926680
1990,Slovakia,18187,23108,30531,38792,51253,65123,58716,71775,66938,79381,89011,88613,96010,91974
1990,Ukraine,2953603,3939317,2644845,3527493,2368364,3158723,2168060,2882242,2072474,2746293,2113924,2801218,2135064,2829229
1990,Channel Islands,29005,32655,28468,32051,30234,34067,33611,37330,36982,40599,39338,42969,40068,43765
1990,Denmark,114411,120778,147194,155914,179977,191049,213097,227286,242029,258743,291431,304445,357366,365512
1990,Estonia,171691,210306,136268,179487,100844,148668,94244,139457,87644,130246,80024,114640,80616,109626
1990,Faroe Islands,2440,1845,1575,1325,1921,1672,2450,2133,2700,2396,2783,2702,3287,3167
1990,Finland,31682,31573,49575,50154,67469,68734,96429,95740,115105,113376,159315,155541,196188,186928
1990,Iceland,4248,5336,5727,7011,7207,8685,12413,13079,17619,17472,19070,20002,27554,24850
1990,Ireland,112093,115868,108084,118808,172959,177593,309910,279136,360440,370102,376338,382918,414452,419112
1990,Isle of Man,16371,18398,17548,19338,18725,20277,20214,21261,21361,22086,20596,21642,20901,21963
1990,Latvia,290800,355207,234216,303877,177632,252546,154745,221980,124675,189111,104011,161407,93396,143870
1990,Lithuania,164585,184673,128641,144946,100546,113765,94189,107020,69606,91166,57508,78513,49293,67925
1990,Norway,99562,93025,117222,116080,144826,147614,176444,184700,268505,258294,389370,357005,451599,416166
1990,Sweden,383085,405682,450945,485077,480211,523587,538490,587300,673083,711846,828027,848237,1008536,996674
1990,United Kingdom,1756448,1893838,1978711,2176582,2228628,2501537,2818177,3107979,3454456,3665208,4023771,4387798,4581996,4970114
1990,Albania,30579,35434,33284,38070,35990,40705,32993,31746,26901,25883,26517,25514,25054,24106
1990,Andorra,20990,17901,23588,20618,22093,20054,26466,23832,27287,24766,21485,20779,23091,22011
1990,Bosnia and Herzegovina,26538,29462,33115,36361,39691,43261,22473,24799,18504,20288,18400,20174,17017,18718
1990,Croatia,222531,252907,315733,358352,274823,310475,271645,307628,268466,304782,260473,300620,239681,278402
1990,Gibraltar,4528,4181,4196,4185,3865,4189,4518,4693,5171,5198,5591,5474,5646,5526
1990,Greece,330038,288101,445004,412846,559794,551871,587677,603030,640731,680418,570528,672396,560208,651174
1990,Holy See,376,392,379,401,379,406,381,417,375,419,376,427,373,426
1990,Italy,642414,785805,809553,965401,976691,1144997,1820290,2134500,2663889,3124004,2637798,3167530,2908119,3365603
1990,Malta,7012,8065,8366,9374,10289,11232,11899,12661,17118,15890,28332,24310,45986,38963
1990,Montenegro,,,,,,,,,31639,46873,28178,43541,27982,42985
1990,North Macedonia,39661,55481,45581,63762,52385,73280,53220,74447,54067,75634,54496,76234,54682,76493
1990,Portugal,209922,225860,259337,273485,320319,331153,376774,394410,371536,391289,398390,466424,411750,476412
