Year,Sort Order,Country,Total Immigration
1990,1990241,Faroe Islands,4285
1990,1990242,Finland,63255
1990,1990243,Iceland,9584
1990,1990244,Ireland,227961
1990,1990245,Isle of Man,34769
1990,1990246,Latvia,646007
1990,1990247,Lithuania,349258
1990,1990248,Norway,192587
1990,1990249,Sweden,788767
1990,1990250,United Kingdom,3650286
1990,1990252,Albania,66013
1990,1990253,Andorra,38891
1990,1990254,Bosnia and Herzegovina,56000
1990,1990255,Croatia,475438
1990,1990256,Gibraltar,8709
1990,1990257,Greece,618139
1990,1990258,Holy See,768
1990,1990259,Italy,1428219
1990,1990260,Malta,15077
1990,1990262,North Macedonia,95142
1990,1990263,Portugal,435782
1990,1990264,San Marino,3310
1990,1990265,Serbia,99269
1990,1990266,Slovenia,178077
1990,1990267,Spain,821605
1990,1990269,Austria,793239
1990,1990270,Belgium,1280583
1990,1990271,France,5897267
1990,1990272,Germany,5936181
1990,1990273,Liechtenstein,10906
1990,1990274,Luxembourg,113795
1990,1990275,Monaco,20359
1990,1990276,Netherlands,1182263
1990,1990277,Switzerland,1392282
1990,1990279,Bermuda,15683
1990,1990280,Canada,4333318
1990,1990281,Greenland,9282
1990,1990282,Saint Pierre and Miquelon,1099
1990,1990283,United States of America,23251026
2019,2019024,Burundi,321018
2019,2019025,Comoros,12504
2019,2019026,Djibouti,115341
2019,2019027,Eritrea,16101
2019,2019028,Ethiopia,1253083
2019,2019029,Kenya,1044854
2019,2019030,Madagascar,34934
2019,2019031,Malawi,247652
2019,2019032,Mauritius,28849
2019,2019033,Mayotte,74643
2019,2019034,Mozambique,334665
2019,2019035,Réunion,129153
2019,2019036,Rwanda,539932
2019,2019037,Seychelles,12926
2019,2019038,Somalia,52131
2019,2019039,South Sudan,865552
2019,2019040,Uganda,1734166
2019,2019041,United Republic of Tanzania,509166
2019,2019042,Zambia,170249
2019,2019043,Zimbabwe,411257
2019,2019045,Angola,669479
2019,2019046,Cameroon,505692
2019,2019047,Central African Republic,90649
2019,2019048,Chad,512230
2019,2019049,Congo,402142
2019,2019050,Democratic Republic of the Congo,963833
2019,2019051,Equatorial Guinea,227617
2019,2019052,Gabon,411463
2019,2019053,Sao Tome and Principe,2174
2019,2019055,Botswana,110596
2019,2019056,Eswatini,32310
2019,2019057,Lesotho,6928
2019,2019058,Namibia,107561
2019,2019059,South Africa,4224256
2019,2019061,Benin,390112
2019,2019062,Burkina Faso,718338
2019,2019063,Cabo Verde,15664
2019,2019064,Côte d'Ivoire,2549141
2019,2019065,Gambia,215406
2019,2019066,Ghana,466780
2019,2019067,Guinea,120642
2019,2019068,Guinea-Bissau,26916
2019,2019069,Liberia,94448
2019,2019070,Mali,468230
2019,2019071,Mauritania,172987
2019,2019072,Niger,294161
2019,2019073,Nigeria,1256408
2019,2019074,Saint Helena,433
2019,2019075,Senegal,275239
2019,2019076,Sierra Leone,54332
2019,2019077,Togo,279142
2019,2019080,Algeria,249075
2019,2019081,Egypt,504053
2019,2019082,Libya,818216
2019,2019083,Morocco,98574
2019,2019084,Sudan,1223092
2019,2019085,Tunisia,57455
2019,2019086,Western Sahara,5384
2019,2019088,Armenia,190159
2019,2019089,Azerbaijan,253887
2019,2019090,Bahrain,741161
2019,2019091,Cyprus,191922
2019,2019092,Georgia,79035
2019,2019093,Iraq,368062
2019,2019094,Israel,1956346
2019,2019095,Jordan,3346703
2019,2019096,Kuwait,3034845
2019,2019097,Lebanon,1863873
2019,2019098,Oman,2286226
2019,2019099,Qatar,2229688
2019,2019100,Saudi Arabia,13122338
2019,2019101,State of Palestine,253735
2019,2019102,Syrian Arab Republic,867848
2019,2019103,Turkey,5876829
2019,2019104,United Arab Emirates,8587256
2019,2019105,Yemen,385628
2019,2019108,Kazakhstan,3705556
2019,2019109,Kyrgyzstan,200260
2019,2019110,Tajikistan,274071
2019,2019111,Turkmenistan,195127
2019,2019112,Uzbekistan,1168384
2019,2019114,Afghanistan,149762
2019,2019115,Bangladesh,2185613
2019,2019116,Bhutan,53254
2019,2019117,India,5154737
2019,2019118,Iran (Islamic Republic of),2682214
2019,2019119,Maldives,69249
2019,2019120,Nepal,490802
2019,2019121,Pakistan,3257978
2019,2019122,Sri Lanka,40018
2019,2019125,China,1030871
2019,2019126,"China, Hong Kong SAR",2942254
2019,2019127,"China, Macao SAR",399572
2019,2019128,Dem. People's Republic of Korea,49393
2019,2019129,Japan,2498891
2019,2019130,Mongolia,21128
2019,2019131,Republic of Korea,1163655
2019,2019133,Brunei Darussalam,110641
2019,2019134,Cambodia,78649
2019,2019135,Indonesia,353135
2019,2019136,Lao People's Democratic Republic,48275
2019,2019137,Malaysia,3430380
2019,2019138,Myanmar,75998
2019,2019139,Philippines,218530
2019,2019140,Singapore,2155653
2019,2019141,Thailand,3635085
2019,2019142,Timor-Leste,8417
2019,2019143,Viet Nam,76104
2019,2019146,Anguilla,5679
2019,2019147,Antigua and Barbuda,29207
2019,2019148,Aruba,36532
2019,2019149,Bahamas,62962
2019,2019150,Barbados,34807
2019,2019151,British Virgin Islands,20778
2019,2019152,"Bonaire, Sint Eustatius and Saba",15484
2019,2019153,Cayman Islands,28985
2019,2019154,Cuba,4886
2019,2019155,Curaçao,40883
2019,2019156,Dominica,8264
2019,2019157,Dominican Republic,567648
2019,2019158,Grenada,7124
2019,2019159,Guadeloupe,100030
2019,2019160,Haiti,18756
2019,2019161,Jamaica,23468
2019,2019162,Martinique,61647
2019,2019163,Montserrat,1375
2019,2019164,Puerto Rico,266828
2019,2019165,Saint Kitts and Nevis,7587
